node,latency_ms,deadline_ms
sensor,0.08030000026337802,100.0
sensor,0.07460001506842673,100.0
sensor,0.04809998790733516,100.0
sensor,0.050000002374872565,100.0
sensor,0.04649997572414577,100.0
sensor,0.05289999535307288,100.0
sensor,0.07860001642256975,100.0
sensor,0.086199986981228,100.0
sensor,0.06479999865405262,100.0
sensor,0.050000002374872565,100.0
sensor,0.06810002378188074,100.0
sensor,0.06079999729990959,100.0
sensor,0.066100008552894,100.0
sensor,0.06560000474564731,100.0
sensor,0.10190001921728253,100.0
sensor,0.18689999706111848,100.0
sensor,0.10890001431107521,100.0
sensor,0.044100015657022595,100.0
sensor,0.04610000178217888,100.0
sensor,0.07280000136233866,100.0
sensor,0.069500005338341,100.0
sensor,0.06319998647086322,100.0
sensor,0.11290001566521823,100.0
sensor,0.0743999844416976,100.0
sensor,0.10209999163635075,100.0
sensor,0.04680000711232424,100.0
sensor,0.06620000931434333,100.0
sensor,0.058399979025125504,100.0
sensor,0.0838999985717237,100.0
sensor,0.066100008552894,100.0
sensor,0.07330000516958535,100.0
sensor,0.07079998613335192,100.0
sensor,0.055899989092722535,100.0
sensor,0.07259999983943999,100.0
sensor,0.048999994760379195,100.0
sensor,0.08410000009462237,100.0
sensor,0.06059999577701092,100.0
sensor,0.07619999814778566,100.0
sensor,0.10350000229664147,100.0
sensor,0.09479999425821006,100.0
sensor,0.059200014220550656,100.0
sensor,0.04149999585933983,100.0
sensor,0.0805000017862767,100.0
sensor,0.054800009820610285,100.0
sensor,0.12350000906735659,100.0
sensor,0.04169999738223851,100.0
sensor,0.05929998587816954,100.0
sensor,0.07080001523718238,100.0
sensor,0.08650001836940646,100.0
sensor,0.04539999645203352,100.0
sensor,0.04370001261122525,100.0
sensor,0.06479999865405262,100.0
sensor,0.062700011767447,100.0
sensor,0.058699981309473515,100.0
sensor,0.07109998841769993,100.0
sensor,0.05150001379661262,100.0
sensor,0.07159999222494662,100.0
sensor,0.07179999374784529,100.0
sensor,0.0686999992467463,100.0
sensor,0.06510000093840063,100.0
sensor,0.08840000373311341,100.0
sensor,0.050000002374872565,100.0
sensor,0.08299999171867967,100.0
sensor,0.1601999974809587,100.0
sensor,0.17159999697469175,100.0
sensor,0.043800013372674584,100.0
sensor,0.08289999095723033,100.0
sensor,0.06180000491440296,100.0
sensor,0.12660000356845558,100.0
sensor,0.0701999815646559,100.0
sensor,0.07869998808018863,100.0
sensor,0.05560001591220498,100.0
sensor,0.06540000322274864,100.0
sensor,0.07999999797903001,100.0
sensor,0.07929999264888465,100.0
sensor,0.07730000652372837,100.0
sensor,0.15020000864751637,100.0
sensor,0.09020001743920147,100.0
sensor,0.07579999510198832,100.0
sensor,0.05639999289996922,100.0
sensor,0.06310001481324434,100.0
sensor,0.1010000123642385,100.0
sensor,0.19200000679120421,100.0
sensor,0.2443999983370304,100.0
sensor,0.11570000788196921,100.0
sensor,0.09590000263415277,100.0
sensor,0.149500003317371,100.0
